nivel,dia_jornada,mes_jornada,tema,arquivo,data_2026,campo,frase,reescrita
CRITICO,358,12,Gratidão e recomeço,2026-12,2026-12-24,missao,"Esta noite, antes de dormir, escreva uma frase de gratidão por algo ou alguém específico desta véspera de Natal.",
CRITICO,359,12,Gratidão e recomeço,2026-12,2026-12-25,voz_do_dia,Natal.,
CRITICO,359,12,Gratidão e recomeço,2026-12,2026-12-25,voz_do_dia,"Se o Natal tem uma mensagem permanente além do calendário, é essa: você é alcançável.",
CRITICO,360,12,Gratidão e recomeço,2026-12,2026-12-26,voz_do_dia,"Os dias entre Natal e Ano Novo têm uma qualidade única — são dias fora do ritmo normal, suspensos entre o que foi e o que vem.",
CRITICO,363,13,Gratidão e recomeço,2026-12,2026-12-29,voz_do_dia,Que escolha disponível agora você tem estado adiando para depois de ano novo?,
CRITICO,363,13,Gratidão e recomeço,2026-12,2026-12-29,missao,Identifique uma mudança que você estava adiando para 'depois do Ano Novo'.,
MODERADO,31,2,Quem sou eu?,2026-01,2026-01-31,voz_do_dia,Você está mais perto de si mesmo do que estava em 1 de janeiro?,
MODERADO,32,2,O que me move?,2026-02,2026-02-01,voz_do_dia,Janeiro te perguntou quem você é.,
MODERADO,45,2,O que me move?,2026-02,2026-02-14,voz_do_dia,"Hoje é dia 14 de fevereiro — e independente de qualquer tradição cultural, é um bom dia para perguntar: o amor é um motor na sua vida?",
MODERADO,59,2,O que me move?,2026-02,2026-02-28,voz_do_dia,O que está te impedindo de chegar lá — isso é o trabalho de Março.,
MODERADO,59,2,O que me move?,2026-02,2026-02-28,voz_do_dia,Você sabe agora com mais clareza do que em 1 de fevereiro.,
MODERADO,59,2,O que me move?,2026-02,2026-02-28,missao,Guarde esse texto ao lado do que escreveu em 31 de janeiro.,
MODERADO,60,2,Onde estou travado?,2026-03,2026-03-01,voz_do_dia,Janeiro te perguntou quem você é.,
MODERADO,60,2,Onde estou travado?,2026-03,2026-03-01,voz_do_dia,Fevereiro te mostrou o que te move.,
MODERADO,89,3,Onde estou travado?,2026-03,2026-03-30,voz_do_dia,O que importa não é resolver tudo em março — é que você saiu de onde estava em primeiro de março.,
MODERADO,89,3,Onde estou travado?,2026-03,2026-03-30,missao,Escreva três travas que você identificou em março.,
MODERADO,90,3,Onde estou travado?,2026-03,2026-03-31,voz_do_dia,Agora você tem mais do que tinha em janeiro.,
MODERADO,90,3,Onde estou travado?,2026-03,2026-03-31,voz_do_dia,A próxima pergunta de Abril — minha visão de futuro — só é possível ser respondida com profundidade porque você passou por aqui primeiro.,
MODERADO,90,3,Onde estou travado?,2026-03,2026-03-31,voz_do_dia,O que você constrói a seguir tem uma fundação que não existia em janeiro.,
MODERADO,93,4,Minha visão de futuro,2026-04,2026-04-03,missao,Releia o que você escreveu sobre identidade em janeiro e motivação em fevereiro.,
MODERADO,120,4,Minha visão de futuro,2026-04,2026-04-30,voz_do_dia,Você está mais familiarizado com os dois primeiros do que estava em janeiro.,
MODERADO,135,5,Fé que age,2026-05,2026-05-15,voz_do_dia,Cada dia de maio foi convite para uma ação específica.,
MODERADO,150,5,Fé que age,2026-05,2026-05-30,voz_do_dia,O que você construiu este mês que não existia no dia primeiro de maio?,
MODERADO,151,6,Fé que age,2026-05,2026-05-31,missao,"Escreva sua síntese de maio: uma frase sobre fé que age que é pessoalmente sua — não citação, não clichê, mas o que você aprendeu na prática este mês.",
MODERADO,181,7,Clareza de propósito,2026-06,2026-06-30,voz_do_dia,Você chegou ao fim de junho com trinta dias de escavação.,
MODERADO,181,7,Clareza de propósito,2026-06,2026-06-30,voz_do_dia,"Em julho, o tema muda para disciplina — e há uma razão para essa sequência.",
MODERADO,181,7,Clareza de propósito,2026-06,2026-06-30,missao,Releia o que você escreveu no dia 1 de junho — sua resposta à pergunta 'por que você existe?' Compare com o que você escreveria hoje.,
MODERADO,211,8,Disciplina como liberdade,2026-07,2026-07-30,voz_do_dia,E julho foi um laboratório desse processo.,
MODERADO,211,8,Disciplina como liberdade,2026-07,2026-07-30,missao,Escreva: o que você praticou em julho que não praticava antes?,
MODERADO,212,8,Disciplina como liberdade,2026-07,2026-07-31,voz_do_dia,Em agosto o tema será relacionamentos que constroem — e há uma conexão direta com julho.,
MODERADO,212,8,Disciplina como liberdade,2026-07,2026-07-31,missao,Faça uma revisão de julho: qual hábito você instalou ou fortaleceu?,
MODERADO,243,9,Relacionamentos que constroem,2026-08,2026-08-31,voz_do_dia,Em setembro o tema será finanças com intenção.,
MODERADO,243,9,Relacionamentos que constroem,2026-08,2026-08-31,voz_do_dia,O que você aprendeu sobre os seus relacionamentos em agosto?,
MODERADO,251,9,Finanças com intenção,2026-09,2026-09-08,missao,"Escreva um objetivo financeiro com prazo e valor: não 'quero ter uma reserva', mas 'quero ter R$X até dezembro de 202X para Y finalidade'.",
MODERADO,273,10,Finanças com intenção,2026-09,2026-09-30,voz_do_dia,Em outubro o tema será saúde — e a conexão com finanças é mais direta do que parece.,
MODERADO,273,10,Finanças com intenção,2026-09,2026-09-30,missao,Faça a revisão financeira de setembro: o que melhorou?,
MODERADO,288,10,Saúde é base,2026-10,2026-10-15,voz_do_dia,Metade de outubro.,
MODERADO,299,10,Saúde é base,2026-10,2026-10-26,voz_do_dia,Em outubro você está vendo como o tema de setembro e o tema de outubro conversam entre si?,
MODERADO,304,11,Saúde é base,2026-10,2026-10-31,voz_do_dia,Em novembro o tema muda para legado e impacto — o que você deixará quando não estiver mais aqui.,
MODERADO,319,11,Legado e impacto,2026-11,2026-11-15,voz_do_dia,Metade de novembro.,
MODERADO,319,11,Legado e impacto,2026-11,2026-11-15,missao,Revise as duas primeiras semanas de novembro.,
MODERADO,334,12,Legado e impacto,2026-11,2026-11-30,voz_do_dia,"Em dezembro o tema será gratidão e recomeço — o olhar para trás que honra o que foi, e o olhar para frente que prepara o que vem.",
MODERADO,339,12,Gratidão e recomeço,2026-12,2026-12-05,voz_do_dia,Quem você era em janeiro de 2026 — e quem você é agora?,
MODERADO,349,12,Gratidão e recomeço,2026-12,2026-12-15,voz_do_dia,Metade de dezembro.,
MODERADO,349,12,Gratidão e recomeço,2026-12,2026-12-15,voz_do_dia,"A última semana de dezembro frequentemente é vivida em modo automático — festas, compromissos, Netflix, descanso sem intenção.",
MODERADO,355,12,Gratidão e recomeço,2026-12,2026-12-21,voz_do_dia,"Muitas pessoas chegam em janeiro esgotadas porque dezembro foi uma corrida de compromissos sociais, trabalho em atraso e preocupações sobre o próximo ano.",
MODERADO,355,12,Gratidão e recomeço,2026-12,2026-12-21,voz_do_dia,Janeiro com energia é o resultado de dezembro com descanso intencional.,
MODERADO,355,12,Gratidão e recomeço,2026-12,2026-12-21,voz_do_dia,"Precisa chegar em janeiro com reservas — físicas, emocionais e espirituais — para começar bem.",
MODERADO,357,12,Gratidão e recomeço,2026-12,2026-12-23,missao,Guarde esse registro para abrir em dezembro de 2027.,
MODERADO,361,13,Gratidão e recomeço,2026-12,2026-12-27,voz_do_dia,A pessoa que você vai ser em dezembro de 2027 está sendo moldada pelas escolhas desta semana — inclusive as que parecem irrelevantes.,
MODERADO,361,13,Gratidão e recomeço,2026-12,2026-12-27,voz_do_dia,"Mas garante que quando você olhar para trás em dezembro de 2027, você reconheça a mão da sua própria escolha na pessoa em que se tornou.",
MODERADO,361,13,Gratidão e recomeço,2026-12,2026-12-27,missao,"Escreva uma carta para o seu eu de dezembro de 2027: quem você quer ter se tornado, o que quer ter construído, o que quer ter aprendido, quem quer ter amado bem.",
MODERADO,361,13,Gratidão e recomeço,2026-12,2026-12-27,missao,Abra em dezembro de 2027.,
MODERADO,362,13,Gratidão e recomeço,2026-12,2026-12-28,voz_do_dia,"A prática ocasional aparece em momentos específicos — quando algo bom acontece, quando a situação lembra de agradecer, quando o calendário chega em dezembro.",
MODERADO,362,13,Gratidão e recomeço,2026-12,2026-12-28,missao,Como você vai manter a prática de gratidão em 2027 — não apenas em dezembro?,
MODERADO,363,13,Gratidão e recomeço,2026-12,2026-12-29,voz_do_dia,O recomeço que vale não é o de 1 de janeiro — é o de agora.,
MODERADO,363,13,Gratidão e recomeço,2026-12,2026-12-29,voz_do_dia,"A virada real acontece no momento em que você decide que algo vai ser diferente — e começa a viver diferente agora, mesmo que ainda seja 29 de dezembro.",
MODERADO,363,13,Gratidão e recomeço,2026-12,2026-12-29,voz_do_dia,"Esperar por 1 de janeiro para começar um hábito, ter uma conversa, fazer uma escolha diferente — é adiar com disfarce de planejamento.",
MODERADO,365,13,Gratidão e recomeço,2026-12,2026-12-31,missao,"Em dezembro de 2027, você vai querer reler.",
LEVE,1,1,Quem sou eu?,2026-01,2026-01-01,voz_do_dia,"Por isso Janeiro começa aqui: não com o que você vai fazer em 2026, mas com quem você vai ser.",
LEVE,1,1,Quem sou eu?,2026-01,2026-01-01,voz_do_dia,A pergunta não é fácil — mas é a mais importante que você vai responder este ano: quem Deus diz que você é?,
LEVE,1,1,Quem sou eu?,2026-01,2026-01-01,missao,O espaço entre elas é o seu campo de transformação este ano.,
LEVE,74,3,Onde estou travado?,2026-03,2026-03-15,voz_do_dia,"Esse é o trabalho mais importante do ano: não o que você vai construir, mas o que precisa ser desobstruído para que a construção seja possível.",
LEVE,90,3,Onde estou travado?,2026-03,2026-03-31,missao,Esse texto é seu ponto de partida para a segunda metade do ano.,
LEVE,120,4,Minha visão de futuro,2026-04,2026-04-30,voz_do_dia,"Abril termina — e com ele, o primeiro quadrimestre do ano.",
LEVE,335,12,Gratidão e recomeço,2026-12,2026-12-01,voz_do_dia,O que aconteceu este ano que te formou?,
LEVE,335,12,Gratidão e recomeço,2026-12,2026-12-01,missao,Pegue um papel e escreva as cinco palavras que melhor descrevem o seu 2026 até agora.,
LEVE,337,12,Gratidão e recomeço,2026-12,2026-12-03,missao,Identifique a maior dificuldade que você enfrentou em 2026.,
LEVE,338,12,Gratidão e recomeço,2026-12,2026-12-04,voz_do_dia,Você provavelmente não disse tudo o que deveria ter dito para essas pessoas ao longo do ano.,
LEVE,338,12,Gratidão e recomeço,2026-12,2026-12-04,missao,Identifique três pessoas que foram presença importante no seu 2026.,
LEVE,339,12,Gratidão e recomeço,2026-12,2026-12-05,missao,"Escreva três formas específicas em que você cresceu como pessoa em 2026 — não o que você fez, mas quem você se tornou.",
LEVE,341,12,Gratidão e recomeço,2026-12,2026-12-07,voz_do_dia,O que não funcionou em 2026 merece atenção honesta — sem drama e sem defesa.,
LEVE,341,12,Gratidão e recomeço,2026-12,2026-12-07,missao,Escreva três coisas que não funcionaram em 2026 e para cada uma: o que aprendi com isso?,
LEVE,342,12,Gratidão e recomeço,2026-12,2026-12-08,voz_do_dia,Reconhecer as conquistas do ano — as grandes e as aparentemente pequenas — é parte do que permite seguir com energia em vez de seguir com exaustão.,
LEVE,342,12,Gratidão e recomeço,2026-12,2026-12-08,missao,Liste dez conquistas de 2026 — de qualquer tamanho.,
LEVE,343,12,Gratidão e recomeço,2026-12,2026-12-09,voz_do_dia,A pessoa que entra em 2027 é mais completa do que a que entrou em 2026.,
LEVE,343,12,Gratidão e recomeço,2026-12,2026-12-09,voz_do_dia,Esse é o ganho real do ano.,
LEVE,343,12,Gratidão e recomeço,2026-12,2026-12-09,missao,"Escreva o que você leva de 2026 para 2027 como recurso — não o que quer esquecer, mas o que quer carregar.",
LEVE,344,12,Gratidão e recomeço,2026-12,2026-12-10,voz_do_dia,"Antes de decidir o que você vai fazer em 2027, vale perguntar o que 2026 quis dizer.",
LEVE,344,12,Gratidão e recomeço,2026-12,2026-12-10,missao,"Em silêncio, por pelo menos dez minutos, pergunte: o que 2026 quis me ensinar?",
LEVE,345,12,Gratidão e recomeço,2026-12,2026-12-11,voz_do_dia,Gratidão pelo corpo que te carregou este ano é uma prática específica e poderosa.,
LEVE,345,12,Gratidão e recomeço,2026-12,2026-12-11,voz_do_dia,"Pense no que seu corpo atravessou em 2026 — o estresse que absorveu, o trabalho que realizou, os momentos difíceis que sustentou, os momentos alegres que permitiu.",
LEVE,345,12,Gratidão e recomeço,2026-12,2026-12-11,voz_do_dia,"Muita gente perdeu saúde este ano, perdeu mobilidade, perdeu capacidade.",
LEVE,345,12,Gratidão e recomeço,2026-12,2026-12-11,voz_do_dia,É honra ao veículo que tornou 2026 possível.,
LEVE,345,12,Gratidão e recomeço,2026-12,2026-12-11,missao,"Escreva uma carta de agradecimento para o seu próprio corpo — pelo que ele sustentou, pelo que ele permitiu, pelo que ele superou este ano.",
LEVE,346,12,Gratidão e recomeço,2026-12,2026-12-12,voz_do_dia,Há pendências de 2026 que se levadas para 2027 vão contaminar o novo ano com o peso do antigo.,
LEVE,346,12,Gratidão e recomeço,2026-12,2026-12-12,missao,"Faça uma lista das pendências de 2026 — conversas, compromissos, projetos, decisões.",
LEVE,349,12,Gratidão e recomeço,2026-12,2026-12-15,missao,"Defina uma intenção para os 16 dias restantes de 2026 — não uma lista de tarefas, mas uma qualidade de presença.",
LEVE,350,12,Gratidão e recomeço,2026-12,2026-12-16,voz_do_dia,Não um tema imposto — uma palavra que emerge do que você ouviu ao longo deste ano de reflexão.,
LEVE,350,12,Gratidão e recomeço,2026-12,2026-12-16,voz_do_dia,"Essa palavra vai funcionar como bússola ao longo do ano — um norte para quando você se perder, uma âncora para quando a urgência do dia tentar apagar o que importa.",
LEVE,352,12,Gratidão e recomeço,2026-12,2026-12-18,voz_do_dia,Presença é o presente mais valioso que você pode dar nesta época do ano.,
LEVE,353,12,Gratidão e recomeço,2026-12,2026-12-19,voz_do_dia,Generosidade nesta época do ano não é sobre quanto você gasta — é sobre quanta atenção você dá.,
LEVE,354,12,Gratidão e recomeço,2026-12,2026-12-20,voz_do_dia,"Há coisas que ficaram em aberto este ano — promessas não cumpridas, decisões adiadas, conversas evitadas.",
LEVE,354,12,Gratidão e recomeço,2026-12,2026-12-20,voz_do_dia,Você está fechando 2026 com integridade — ou apenas esperando que o calendário resolva o que você não tratou?,
LEVE,360,12,Gratidão e recomeço,2026-12,2026-12-26,voz_do_dia,"Mas esses dias têm valor exatamente como são: tempo para processar, para descansar de verdade, para ter conversas que não cabem no ritmo acelerado do ano.",
LEVE,360,12,Gratidão e recomeço,2026-12,2026-12-26,voz_do_dia,Você não precisa planejar 2027 agora — você precisa terminar 2026 bem.,
LEVE,360,12,Gratidão e recomeço,2026-12,2026-12-26,voz_do_dia,O que aconteceu este ano ainda precisa de espaço para ser processado?,
LEVE,362,13,Gratidão e recomeço,2026-12,2026-12-28,missao,"Defina um ritual concreto: um momento do dia, um caderno, uma prática específica que manterá a gratidão ativa ao longo do ano.",
LEVE,364,13,Gratidão e recomeço,2026-12,2026-12-30,voz_do_dia,"Você atravessou tudo isso e chegou até aqui, neste penúltimo dia do ano, ainda capaz de olhar para frente.",
LEVE,364,13,Gratidão e recomeço,2026-12,2026-12-30,missao,"Escreva uma frase que resume o seu 2026 — não para ninguém, para você.",
LEVE,364,13,Gratidão e recomeço,2026-12,2026-12-30,missao,Esse é o seu registro pessoal do ano que foi.,
LEVE,365,13,Gratidão e recomeço,2026-12,2026-12-31,voz_do_dia,Você não vai esquecer 2026 quando a meia-noite passar.,
