dia_jornada,mes_tema,campo,termo,ancorada,frase,decisao,reescrita
69,Onde estou travado?,voz_do_dia,neurociência,NAO,A neurociência mostra que escassez crônica estreita cognição — literalmente reduz capacidade de planejamento e decisão.,,
72,Onde estou travado?,voz_do_dia,"amígdala, neurociência",NAO,A neurociência confirma que mindfulness — presença plena no momento — reduz ativação de amígdala e aumenta capacidade de resposta consciente.,,
73,Onde estou travado?,voz_do_dia,neurociência,NAO,"A neurociência mostra que esgotamento por excesso de responsabilidade — burnout — não é apenas cansaço, é crise de identidade: a pessoa perde contato com o que quer porque passou tanto tempo respondendo ao que os outros precisam.",,
76,Onde estou travado?,voz_do_dia,neurociência,NAO,"A neurociência confirma que crescimento ocorre na zona de desconforto — não no pânico, mas no esforço além do familiar.",,
77,Onde estou travado?,voz_do_dia,neurociência,NAO,A neurociência mostra que aprendizado por modelagem — observar e estar próximo de alguém que você quer ser — é dramaticamente mais eficaz que aprendizado apenas por conteúdo.,,
78,Onde estou travado?,voz_do_dia,neurociência,NAO,"A neurociência mostra que consumo passivo de conteúdo em excesso reduz capacidade de pensamento profundo, criatividade e tolerância à ambiguidade — todas capacidades necessárias para quem quer construir algo com significado.",,
85,Onde estou travado?,voz_do_dia,neurociência,NAO,A neurociência confirma que suporte social robusto é um dos preditores mais fortes de saúde mental e resiliência.,,
93,Minha visão de futuro,voz_do_dia,neurociência,NAO,"A neurociência mostra que visualização eficaz não é apenas imaginar o resultado final — é imaginar o processo, os obstáculos, a versão de si mesmo que aquele futuro exige.",,
95,Minha visão de futuro,voz_do_dia,neurociência,NAO,A neurociência mostra que bem-estar genuíno é multidimensional — uma área de alto desempenho não compensa colapso em outra.,,
98,Minha visão de futuro,voz_do_dia,neurociência,NAO,A neurociência confirma: metas escritas com especificidade têm probabilidade dramaticamente maior de realização do que metas apenas pensadas.,,
106,Minha visão de futuro,voz_do_dia,neurociência,NAO,A neurociência mostra que objetivos financeiros conectados a propósito geram motivação mais sustentável do que objetivos financeiros em si.,,
107,Minha visão de futuro,voz_do_dia,neurociência,NAO,A neurociência mostra que senso de contribuição para algo maior é um dos componentes mais robustos de bem-estar duradouro.,,
109,Minha visão de futuro,voz_do_dia,neurociência,NAO,"A neurociência é clara: exercício físico regular é uma das intervenções mais eficazes para saúde mental, cognição, regulação emocional e longevidade.",,
110,Minha visão de futuro,voz_do_dia,neurociência,NAO,A neurociência chama de 'coerência de objetivos' o alinhamento entre metas de curto e longo prazo — e mostra que coerência alta prediz bem-estar e persistência maiores.,,
116,Minha visão de futuro,voz_do_dia,neurociência,NAO,"A neurociência confirma que intenções sem implementação específica — quando, onde, como — raramente se transformam em comportamento.",,
117,Minha visão de futuro,voz_do_dia,neurociência,NAO,A neurociência mostra que clareza de prioridade no curto prazo reduz carga cognitiva e aumenta qualidade de execução.,,
118,Minha visão de futuro,voz_do_dia,neurociência,NAO,A neurociência chama de 'comprometimento público' um dos mecanismos mais eficazes de mudança comportamental.,,
121,Fé que age,voz_do_dia,neurociência,NAO,A neurociência confirma: comportamento que precede convicção frequentemente gera a convicção.,,
122,Fé que age,voz_do_dia,"córtex, neurociência, pré-frontal",NAO,A neurociência mostra que confiança em situações de incerteza — que é exatamente o que fé exige — ativa o córtex pré-frontal e expande percepção de possibilidades.,,
126,Fé que age,voz_do_dia,neurociência,NAO,"A neurociência confirma que insight — aquele momento de 'entendi' — frequentemente ocorre após ação, não antes.",,
129,Fé que age,voz_do_dia,neurociência,NAO,A neurociência mostra que dar ativa os mesmos circuitos de recompensa que receber — o cérebro foi literalmente construído para generosidade.,,
130,Fé que age,voz_do_dia,neurociência,NAO,A neurociência chama de 'prática deliberada' o desenvolvimento de habilidade no anonimato — é o único jeito de construir competência real.,,
132,Fé que age,voz_do_dia,neurociência,NAO,A neurociência mostra que articular pedido com clareza ativa comprometimento cognitivo semelhante ao de declarar uma meta.,,
134,Fé que age,voz_do_dia,neurociência,NAO,A neurociência mostra que tolerância à incerteza — a capacidade de agir sem saber o resultado — é uma das habilidades mais associadas a bem-estar e eficácia.,,
138,Fé que age,voz_do_dia,neurociência,NAO,A neurociência mostra que autoafirmação baseada em valores — declarar quem você é e o que você crê — ativa regiões cerebrais ligadas a identidade e motivação de forma mais profunda que análise racional.,,
140,Fé que age,voz_do_dia,neurociência,NAO,A neurociência confirma que altruísmo genuíno ativa circuitos de recompensa mais profundos do que benefício próprio.,,
142,Fé que age,voz_do_dia,neurociência,NAO,"A neurociência mostra que atos de aproximação — iniciar contato, ofertar ajuda, pedir perdão — têm impacto neurológico tanto em quem age quanto em quem recebe.",,
143,Fé que age,voz_do_dia,neurociência,NAO,"A neurociência mostra que hábitos físicos saudáveis são diretamente preditivos de regulação emocional, clareza cognitiva e bem-estar espiritual.",,
146,Fé que age,voz_do_dia,neurociência,NAO,A neurociência confirma que identidade robusta não depende de experiências intensas — é construída pela consistência de comportamentos alinhados a valores no dia a dia comum.,,
282,Saúde é base,voz_do_dia,cortisol,NAO,O nível de desordem no espaço físico aumenta o cortisol.,,
299,Saúde é base,voz_do_dia,cortisol,NAO,"Estresse financeiro é uma das principais causas de problemas de saúde — eleva cortisol, perturba sono, piora a alimentação.",,
4,Quem sou eu?,voz_do_dia,neurociência,SIM,"O problema do modo automático, que a neurociência descreve, é que ele nos faz agir segundo a identidade do passado.",,
298,Saúde é base,voz_do_dia,cortisol,SIM,"Pesquisas mostram que exposição regular a ambientes naturais — parques, árvores, água, céu aberto — reduz cortisol, melhora humor, aumenta criatividade e restaura atenção.",,
